cq147369,127,1224,11451,11,13
muyang1,1445,1048,27390,16,19
muyang2,859,2053,13274,12,20
1770994 yubeiyi,1261,1606,13828,11,28
1861216 jia,1019,1199,12413,16,19
134886 bing,3462,2076,13781,12,18
pgh123,166,707,10436,12,20
pgh1234,159,586,16528,12,25
pgh12345,167,653,10060,12,20
pgh123456,847,916,14912,12,13
