cq147369,112,62,195,193,98,962,22,12
muyang1,208,420,407,415,956,3493,983,18
muyang2,47,344,253,219,652,3299,871,19
1358177 yubei,511,669,664,606,884,5999,983,32
1770994 yubeiyi,464,530,522,269,1494,6623,1114,27
1861216 jia,48,120,54,143,949,2178,496,18
12160829 yi,48,100,302,46,1050,2187,579,14
134886 bing,45,36,417,394,825,2092,933,17
88699777 ding,43,28,178,37,901,2150,512,17
pgh123,347,427,398,118,945,4191,1207,19
pgh1234,238,312,287,31,896,3807,1449,24
pgh12345,69,286,280,39,902,3954,1147,19
pgh123456,101,367,407,458,744,3818,1507,12
