profile,姓名,id,等级,武力,战力,满武力,书籍经验,总资质
cq147369,零零发,1,300,102,1.53,103,327,146
cq147369,鳌拜,2,250,64,.80,67,733,82
cq147369,和珅,3,150,4,.03,15,2289,13
cq147369,郑板桥,4,200,5,.05,15,2131,21
cq147369,喜来乐,5,200,7,.07,22,3165,21
cq147369,苏乞儿,6,300,59,.89,65,1306,88
cq147369,李卫,7,150,3,.02,17,2947,14
cq147369,刘伯温,8,300,18,.27,53,7195,33
cq147369,林则徐,9,200,3,.03,24,4328,19
cq147369,方世玉,10,300,45,.68,50,1086,63
cq147369,多尔衮,11,250,25,.31,25,27,37
cq147369,左宗棠,12,250,10,.12,30,4044,32
cq147369,张之洞,13,200,8,.08,44,7330,22
cq147369,蒲松龄,14,150,2,.01,13,2289,16
cq147369,李鸿章,15,150,6,.04,18,2509,19
cq147369,李寻欢,16,250,14,.17,32,3732,32
cq147369,索尼,17,150,8,.06,22,2818,29
cq147369,胡雪岩,18,150,3,.02,8,1072,16
cq147369,曹雪芹,19,150,3,.02,12,1922,16
cq147369,海大富,20,300,45,.68,69,4995,83
cq147369,华佗,21,150,3,.02,22,3806,17
cq147369,墨子,22,150,3,.02,15,2448,17
cq147369,杜甫,23,200,4,.04,48,8934,19
cq147369,廉颇,24,250,17,.21,42,5185,37
cq147369,庄周,25,200,6,.06,10,985,21
cq147369,李元芳,26,1,4,.00,27,4635,17
cq147369,鲁班,27,1,2,.00,26,4885,17
cq147369,孙武,28,1,10,.00,17,1435,18
cq147369,关羽,33,300,36,.54,38,521,45
cq147369,张飞,34,1,7,.00,11,995,16
cq147369,赵云,35,1,11,.00,16,1045,20
cq147369,马超,36,190,245,2.33,249,865,254
cq147369,黄忠,37,1,7,.00,11,990,16
cq147369,诸葛亮,38,300,274,4.11,276,500,285
cq147369,郭嘉,41,350,267,4.67,276,1819,278
cq147369,韦小宝,44,350,312,5.46,314,558,357
cq147369,黄飞鸿,45,350,119,2.08,125,1318,202
cq147369,马云騄,55,350,243,4.25,247,905,667
muyang1,零零发,1,350,172,3.01,216,8981,316
muyang1,鳌拜,2,350,146,2.56,164,3657,237
muyang1,和珅,3,300,46,.69,53,1493,78
muyang1,郑板桥,4,250,25,.31,31,1210,53
muyang1,喜来乐,5,300,33,.49,40,1400,66
muyang1,苏乞儿,6,300,101,1.51,103,590,150
muyang1,李卫,7,289,27,.39,35,1677,61
muyang1,刘伯温,8,300,36,.54,61,5023,56
muyang1,林则徐,9,300,43,.65,47,989,101
muyang1,方世玉,10,300,80,1.20,83,692,113
muyang1,多尔衮,11,250,30,.38,49,3831,60
muyang1,左宗棠,12,300,35,.53,54,3896,68
muyang1,张之洞,13,300,36,.54,63,5432,68
muyang1,蒲松龄,14,300,41,.61,45,864,67
muyang1,李鸿章,15,250,27,.34,33,1355,58
muyang1,李寻欢,16,350,484,8.47,499,3104,957
muyang1,索尼,17,300,47,.70,54,1590,70
muyang1,胡雪岩,18,300,46,.69,54,1714,71
muyang1,曹雪芹,19,300,29,.43,35,1260,67
muyang1,海大富,20,300,42,.63,60,3671,62
muyang1,华佗,21,300,55,.82,60,1016,84
muyang1,墨子,22,300,43,.65,46,759,63
muyang1,杜甫,23,300,28,.42,62,6948,74
muyang1,廉颇,24,300,35,.53,52,3441,55
muyang1,庄周,25,250,22,.28,26,817,42
muyang1,李元芳,26,300,32,.48,69,7523,61
muyang1,鲁班,27,250,21,.26,27,1227,44
muyang1,孙武,28,250,36,.45,41,1106,53
muyang1,张良,29,200,9,.09,20,2240,25
