profile,姓名,id,等级,武力,满武力,书籍经验,总资质
cq147369,零零发,1,300,102,102,95,156
cq147369,鳌拜,2,250,64,66,495,91
cq147369,和珅,3,150,4,15,2259,19
cq147369,郑板桥,4,200,5,15,2045,17
cq147369,喜来乐,5,200,7,22,3165,13
cq147369,苏乞儿,6,300,59,64,1096,77
cq147369,李卫,7,150,3,17,2937,24
cq147369,刘伯温,8,300,18,52,6939,24
cq147369,林则徐,9,200,3,24,4318,9
cq147369,方世玉,10,300,45,49,896,72
cq147369,多尔衮,11,250,25,25,27,40
cq147369,左宗棠,12,250,10,30,4024,22
cq147369,张之洞,13,200,8,44,7330,29
cq147369,蒲松龄,14,150,2,13,2289,17
cq147369,李鸿章,15,150,6,18,2505,12
cq147369,李寻欢,16,250,14,32,3722,20
cq147369,索尼,17,150,8,22,2812,50
cq147369,胡雪岩,18,150,3,8,1052,9
cq147369,曹雪芹,19,150,3,12,1922,12
cq147369,海大富,20,300,45,69,4975,87
cq147369,华佗,21,150,3,21,3796,27
cq147369,墨子,22,150,3,15,2448,9
cq147369,杜甫,23,200,4,48,8890,16
cq147369,廉颇,24,250,17,42,5175,35
cq147369,庄周,25,200,6,10,975,33
cq147369,李元芳,26,1,4,27,4625,10
cq147369,鲁班,27,1,2,26,4885,11
cq147369,孙武,28,1,10,17,1435,19
cq147369,关羽,33,300,36,37,311,45
cq147369,张飞,34,1,7,11,805,13
cq147369,赵云,35,1,11,15,815,20
cq147369,马超,36,1,245,245,75,257
cq147369,黄忠,37,1,7,10,780,16
cq147369,诸葛亮,38,300,274,275,310,280
cq147369,郭嘉,41,350,267,274,1567,273
cq147369,韦小宝,44,350,312,314,558,384
cq147369,黄飞鸿,45,350,119,125,1318,254
cq147369,马云騄,55,350,243,246,715,1485
muyang1,零零发,1,350,172,215,8791,286
muyang1,鳌拜,2,350,146,163,3463,266
muyang1,和珅,3,300,46,53,1483,106
muyang1,郑板桥,4,250,25,31,1210,37
muyang1,喜来乐,5,300,33,39,1370,45
muyang1,苏乞儿,6,300,101,102,390,155
muyang1,李卫,7,289,27,35,1667,105
muyang1,刘伯温,8,300,36,60,4833,48
muyang1,林则徐,9,300,43,47,989,55
muyang1,方世玉,10,300,80,82,486,134
muyang1,多尔衮,11,250,30,48,3621,72
muyang1,左宗棠,12,300,35,53,3646,65
muyang1,张之洞,13,300,36,62,5242,75
muyang1,蒲松龄,14,300,41,45,834,71
muyang1,李鸿章,15,250,27,33,1355,39
muyang1,李寻欢,16,350,484,499,3006,1066
muyang1,索尼,17,300,47,54,1590,95
muyang1,胡雪岩,18,300,46,54,1666,58
muyang1,曹雪芹,19,300,29,35,1250,47
muyang1,海大富,20,300,42,59,3481,54
muyang1,华佗,21,300,55,60,1006,118
muyang1,墨子,22,300,43,46,755,55
muyang1,杜甫,23,300,28,61,6736,58
muyang1,廉颇,24,300,35,51,3241,53
muyang1,庄周,25,250,22,26,813,64
muyang1,李元芳,26,300,32,68,7333,50
muyang1,鲁班,27,250,21,27,1217,39
muyang1,孙武,28,250,36,41,1086,54
muyang1,张良,29,200,9,20,2240,39
muyang1,姜子牙,30,16,9,15,1375,27
muyang1,关羽,33,400,820,823,777,1990
muyang1,张飞,34,300,29,36,1408,41
muyang1,赵云,35,300,53,59,1282,71
muyang1,马超,36,300,71,72,233,83
muyang1,黄忠,37,300,33,35,475,51
muyang1,诸葛亮,38,400,1021,1022,332,1381
muyang1,庞统,39,300,33,46,2782,66
muyang1,周瑜,40,300,43,58,3003,55
muyang1,郭嘉,41,400,309,311,522,336
muyang1,韦小宝,44,350,60,68,1704,510
muyang1,黄飞鸿,45,350,283,289,1362,787
muyang1,吕玲绮,53,400,258,259,336,348
muyang1,马云騄,55,400,391,418,5586,562
muyang2,零零发,1,350,206,246,8196,326
muyang2,鳌拜,2,350,194,211,3525,317
muyang2,和珅,3,300,49,55,1215,64
muyang2,郑板桥,4,250,30,33,741,42
muyang2,喜来乐,5,300,38,42,856,56
muyang2,苏乞儿,6,300,48,64,3235,60
muyang2,李卫,7,250,32,39,1515,62
