cq147369,139,1230,1577,1565,1553,2671,13,13
muyang1,1470,1061,2862,2846,2825,18745,18,19
muyang2,877,2062,3959,3944,3927,4652,14,20
1358177 yubei,1414,1324,5169,5160,5142,6783,13,33
1770994 yubeiyi,1281,1614,4466,4450,4416,5096,13,28
1861216 jia,1046,1204,5120,5114,5111,3872,18,19
12160829 yi,819,1320,4728,4727,4720,7283,14,15
134886 bing,3490,2086,5152,5140,5139,5006,14,18
88699777 ding,846,1070,3354,3368,3312,7851,14,18
pgh123,183,713,3091,3090,3085,1769,14,20
pgh1234,175,594,2019,2008,1995,7740,14,25
pgh12345,180,660,157,126,95,1236,14,20
pgh123456,859,924,2712,2687,2685,7844,14,13
