cq147369,72,97,86,80,453,871,289,257,1102,1384,783,8229,9,6
muyang1,300,414,402,406,836,2944,950,1600,483,7294,2662,39766,10,12
muyang2,50,269,181,139,850,2717,838,991,1443,6802,3170,4775,10,13
1358177 yubei,504,666,656,596,745,5457,950,1457,705,4034,3778,6992,9,25
1770994 yubeiyi,456,527,514,264,1390,6077,1081,1372,1049,3908,3320,5695,9,21
1861216 jia,42,112,43,139,833,1631,460,992,558,3947,2272,10760,12,12
12160829 yi,40,95,295,41,935,1623,546,903,818,3458,3282,2003,10,10
134886 bing,38,27,411,387,722,1556,900,3501,1540,4773,3774,3405,10,12
88699777 ding,37,22,171,33,807,1607,479,908,496,4229,3956,2710,10,13
pgh123,391,420,391,111,809,3666,1174,443,309,6285,3124,6946,10,13
pgh1234,280,309,283,25,776,3348,1418,294,324,4689,2296,15652,8,18
pgh12345,261,281,271,34,796,3480,1117,453,515,3397,2159,21289,5,13
pgh123456,95,363,402,454,618,3289,1481,1176,458,3200,2240,27132,5,7

cq147369,72,97,86,80,453,871,289,257,1112,1384,793,6329,9,7
muyang1,300,414,402,406,836,2944,950,1600,493,7294,2672,37866,10,13
muyang2,50,269,181,139,850,2717,838,991,1453,6802,3180,2875,10,14
1358177 yubei,504,666,656,596,745,5457,950,1457,715,4034,3788,5092,9,26
1770994 yubeiyi,456,527,514,264,1390,6077,1081,1372,1059,3908,3330,3795,9,22
1861216 jia,42,112,43,139,833,1631,460,992,568,3947,2282,8860,12,13
12160829 yi,40,95,295,41,935,1623,546,903,828,3458,3292,103,10,11
134886 bing,38,27,411,387,722,1556,900,3501,1550,4773,3784,1505,10,13
88699777 ding,37,22,171,33,807,1607,479,908,506,4229,3966,810,10,14
pgh123,391,420,391,111,809,3666,1174,443,319,6285,3134,5046,10,14
pgh1234,280,309,283,25,776,3348,1418,294,334,4689,2306,13752,8,19
pgh12345,261,281,271,34,796,3480,1117,453,525,3397,2169,19389,5,14
pgh123456,95,363,402,454,618,3289,1481,1176,468,3200,2250,25232,5,8
