pgh1234567,80,352,235,594,631,3595,1649,928,382,2391,1812,8732
pgh12345678,54,300,302,74,627,2299,1015,223,354,2146,1580,6815
pgh123456789,58,274,377,91,635,1801,1396,380,737,3354,2411,8009
pby123,62,383,368,105,626,3414,1508,214,298,2289,1792,10758
pby1234,24,310,292,331,714,2973,1359,267,366,2425,1576,10784
pby12345,341,347,231,524,772,2810,1330,225,145,2189,1716,11385
pby123456,323,333,339,322,770,2993,1320,257,384,2136,1479,20809
pby1234567,205,203,153,332,871,2133,1199,221,365,1744,1152,30659
pby12345678,208,274,296,338,505,1863,1176,210,456,1169,940,30158
pby123456789,8,14,20,95,358,1047,464,102,128,1407,1222,8510
wang77,28,28,29,29,206,305,137,91,222,226,199,8367
wang777,32,32,33,37,204,419,194,19,235,49,108,8644
wang7777,25,31,31,31,699,934,596,22,300,44,288,6158
