pgh1234567,122,412,297,653,1343,4883,2022,3956,2540,10
pgh12345678,114,361,365,137,1388,3585,1390,3721,2269,13
pgh123456789,120,329,436,149,1332,3073,1755,4955,3152,7
pby123,126,443,429,163,1347,4529,1869,3826,2484,16
pby1234,76,383,367,409,1601,4353,1811,4052,2300,9
pby12345,390,393,275,571,1490,3932,1752,3748,2430,10
pby123456,382,399,410,392,1505,4056,1754,3723,2221,16
pby1234567,280,281,223,400,1680,3238,1707,3285,1914,25
pby12345678,376,429,522,540,253,2462,1462,2392,1602,17
pby123456789,63,73,71,144,997,2293,839,2991,1946,4
wang77,92,168,154,165,37,732,147,1301,712,4
wang777,68,63,171,170,34,840,400,874,587,5
wang7777,81,181,245,228,247,1364,783,1081,791,5
