pgh1234567,566,396,2990,2960,2961,4115,12,10
pgh12345678,194,364,2989,2985,2947,15631,10,13
pgh123456789,201,753,2810,2777,2776,7331,12,7
pby123,181,295,2867,2830,2828,13017,10,16
pby1234,201,379,2782,2779,2774,7871,12,9
pby12345,165,179,3798,3757,3751,7468,12,10
pby123456,171,429,3886,3803,3797,9980,14,16
pby1234567,177,483,3353,3278,3281,14191,14,25
pby12345678,123,429,917,881,873,11154,14,17
pby123456789,197,392,2664,2653,2611,10392,10,4



wang77,111,370,1448,1444,1445,6957,8,4
wang777,102,111,964,963,963,9785,8,5
wang7777,124,130,2971,2971,2971,8588,8,5





pby123,181,295,2867,2830,2828,13027,10,16
pby123456,171,429,3886,3803,3797,10010,14,16
pby1234567,177,483,3353,3278,3281,14191,14,25
pby12345678,123,429,917,881,873,11154,14,17
pby123456789,197,392,2664,2653,2611,10407,10,4
