pgh1234567,23,413,299,656,1448,5300,2089
pgh12345678,51,363,366,141,1472,4003,1457
pgh123456789,61,330,439,150,1441,3485,1822
pby123,97,447,432,165,1421,4924,1936
pby1234,68,389,368,412,1718,4751,1878
pby12345,326,395,277,577,1605,4339,1810
pby123456,342,403,413,394,1587,4472,1820
pby1234567,173,282,225,405,1728,3561,1747
pby12345678,266,496,613,621,143,2766,1576
pby123456789,21,81,80,153,1205,2750,971
wang77,28,209,206,202,29,1008,244
wang777,6,107,217,220,40,1108,108
wang7777,3,280,350,321,7,1690,903
