名字,皮肤,书桌,钱,关卡,巾帼令,将臣布匹,书院装扮,巾帼装扮,联盟碎片,联盟道具,联盟高级道具,武力卷轴,智力卷轴,政治卷轴,魅力卷轴,卷轴,小黄书,大黄书,亲密1,亲密2,亲密包,魅力1,魅力2
wang25687,skin,12,13715,178,26,116,书院,无巾帼,0,0,10,474,2147,568,538,253,7719,680,5531,17462,11334,15415,2405
ssqwerty,no skin,20,178502,178,82,152,书院,巾帼,3,0,10,1634,827,511,512,54,2915,1117,18938,7270,1436,17261,8893
18612160829,no skin,20,40470,177,53,72,无书院,巾帼,1,0,3,1286,1288,1206,1338,313,7393,354,11113,3250,1074,23335,12113
15504973518,skin,20,54357,171,57,72,无书院,巾帼,2,1,6,1404,1590,1779,1475,615,7805,617,2761,4769,1912,12110,11421
13812788376,skin,20,56071,170,57,64,无书院,巾帼,1,2,16,212,1700,1286,1291,353,7892,194,9553,2900,1527,380,4782
457181660,no skin,18,36998,160,67,51,无书院,无巾帼,0,0,3,482,963,1536,988,208,4292,592,7692,1537,720,4483,7655
z7211191,skin,20,60129,168,39,56,书院,巾帼,1,1,23,1112,1656,1796,1167,60,5300,2411,12635,6812,1128,24442,5817
15686784340,no skin,20,32928,163,28,49,无书院,无巾帼,2,0,1,185,601,628,190,2652,4480,1939,3867,4249,1246,11736,4314
shinecy1126,no skin,20,13651,153,28,25,无书院,巾帼,0,0,38,200,344,352,213,2576,4528,1450,7923,4180,1149,6981,3190
lonely7201984,no skin,20,65931,156,42,44,书院,巾帼,1,0,5,3,1092,521,192,169,7360,59,11477,5756,1313,22804,8825
liu271,no skin,20,107142,165,34,47,书院,巾帼,0,0,18,180,176,775,165,2910,4487,1495,7093,4851,683,18084,7889
cq1473691,no skin,12,24654,139,21,24,无书院,无巾帼,2,0,20,206,559,705,660,79,3200,20,2542,1291,312,6044,2405
cq1473693,no skin,12,17748,137,18,27,无书院,无巾帼,2,0,20,240,627,735,686,89,3280,20,1611,1199,324,4203,2059
